H0,H1,H2,date,alias
"Need Help With Your Estate Plan? Go With the Flow, Advisers Say","As older adults face mortality during the pandemic, lawyers and wealth advisers are using color-coded documents and flowcharts to help them understand estate planning.",,2020-07-25,nytimes
That Home Office of Yours? It Needs an Upgrade,You may be working from home for a while. Its time for something more professional than a corner of the dining table.,,2020-07-25,nytimes
Do We Need to Tell Our Son That His Dad Has Coronavirus?,He is 8 years old and very afraid of us getting sick.,,2020-07-25,nytimes
"Suggestions, Distractions and Diaries. Our Staff Is an Open Book.","Worry is a drumbeat. Above it, though, theres a melody: a craving for distraction and joy, for intimacy, for serendipity.",,2020-07-25,nytimes
Where the Wild Things Play,"The animal world is full of games. And tucked in among wrestling monkeys, belligerent birds and wily coyotes are lessons for us all.",,2020-07-25,nytimes
Almost Famous: The Oral History of a Golden Gods Acid Trip,"As the coming-of-age rock tale turns 20, the cast and crew remember how a stars badly aimed jump and other near-misses became a standout scene.",,2020-07-25,nytimes
Welcome to the Great Indoors: Museums Beckon in the Berkshires,"At Mass MoCA and the Clark, there are timely new exhibitions, but our critic finds as much relevance in a still life by Manet, or an Ingres drawing.",,2020-07-25,nytimes
A Brooklyn Restaurants Answer to Cabin Fever: Summer Camp,"Olmsted, like many of its New York City peers, is trying to make the most of a strange season by serving up fun and games along with the distancing.",,2020-07-25,nytimes
The Biases We Hold Against the Way People Speak,"In How You Say It, Katherine Kinzler focuses on linguistic discrimination, how your accent can determine the way you are perceived.",,2020-07-25,nytimes
"Jason Rodriguezs Vogue Family Values: Positivity, Trust, Love","The dancer and choreographer strives to empower a generation: If youre not expressing your most confident self, youre not voguing.",,2020-07-25,nytimes
There Are Wasps in the Yard. Youd Better Get to Know Them.,They buzz. They hover. Sometimes they sting. But how much do you really know about these insects that can menace our summers?,,2020-07-25,nytimes
Why the Super Weird Moons of Mars Fascinate Scientists,Whats the big deal about little Phobos and tinier Deimos?,,2020-07-25,nytimes
Viking Age Smallpox Complicates Story of Viral Evolution,"An extinct version of the smallpox virus dating to 1,400 years ago prompts speculation about viruses becoming more lethal over time.",,2020-07-25,nytimes
How Ultra-Black Fish Disappear in the Deepest Seas,Researchers have found fish that absorb more than 99.9 percent of the light that hits their skin.,,2020-07-25,nytimes
How Much Watching Time Do You Have This Weekend?,Our critic suggests a quirky horror-adventure demon-hunter series and a nature show that is as packed with high-stakes drama as Game of Thrones.,,2020-07-25,nytimes
6 Steps to the Best Barbecued Ribs,"A backyard grill can easily produce the spicy, smoky slabs that for many are barbecues ultimate prize.",,2020-07-25,nytimes
My House Has Not Kept Up With the Pandemic,"Were home all the time, but since no one is ever coming over, is there really any reason to tidy up?",,2020-07-25,nytimes
The faltering recovery of Spain's vital tourism sector is likely to worsen after the UK decision.,,,2020-07-26,bbcnews
Major blow to Spain as UK orders quarantine,,,2020-07-26,bbcnews
'No apologies' for Spain travel rule change,"The foreign secretary defends the government's ""swift decision"" but Labour calls it ""shambolic"".",,2020-07-26,bbcnews
'Devastated' travellers react to quarantine rules,Holidaymakers arriving in the UK from Spain and its islands must self-isolate for 14 days.,,2020-07-26,bbcnews
Tui scraps Spanish holidays over quarantine 'blow',The travel industry reacts with dismay to the 14-day quarantine for travellers arriving from Spain.,,2020-07-26,bbcnews
Tables turned as St Bernard needs mountain rescue,"The ""massive"" four-year-old dog was showing signs of pain in her legs and was refusing to move.",,2020-07-26,bbcnews
Transport secretary caught up in Spain rule change,Grant Shapps is on a family holiday in the country and will have to quarantine on his return.,,2020-07-26,bbcnews
Video 3 minutes 37 seconds,"Covid-19 is the latest enemy faced by families in Iraq, and it's overrunning its hospitals and cemeteries.",,2020-07-26,bbcnews
Coronavirus: 'I killed my mother with my own hands',,,2020-07-26,bbcnews
Surgeries will also provide access to bikes and ministers promise cycling infrastructure will improve.,,,2020-07-26,bbcnews
Ps to prescribe cycling in new obesity strategy,,,2020-07-26,bbcnews
Harry Dunn family drop legal action against police,Mr Dunn's family believe a suspect in the case was allowed to leave the UK unlawfully.,,2020-07-26,bbcnews
Motorway roadworks speed limit to be raised,"The increase from 50mph to 60mph in England is intended to ease driver ""frustrations"".",,2020-07-26,bbcnews
Police and protesters clash at Seattle march,"Marches in support of anti-racism protests in Portland, Oregon were held across the US on Saturday.",,2020-07-26,bbcnews
"Day three of the third Test between England and West Indies at Old Trafford - follow in-play clips, TMS commentary and text coverage.",,,2020-07-26,bbcnews
"Broad picks up 6-31 as England take 172-run lead - clips, radio & text",,,2020-07-26,bbcnews
Crash fears amid rising biker numbers in lockdown,"Almost 50,000 motorbikes were clocked on roads in one weekend after restrictions were eased, police say.",,2020-07-26,bbcnews
"Eyes can reveal if someone has PTSD, study shows","The eyes of people with PTSD behave differently when they see exciting images, researchers say.",,2020-07-26,bbcnews
'No apologies' for Spain travel rule change,"The foreign secretary defends the government's ""swift decision"" but Labour calls it ""shambolic"".",,2020-07-26,bbcnews
'Devastated' travellers react to quarantine rules,Holidaymakers arriving in the UK from Spain and its islands must self-isolate for 14 days.,,2020-07-26,bbcnews
Tui scraps Spanish holidays over quarantine 'blow',The travel industry reacts with dismay to the 14-day quarantine for travellers arriving from Spain.,,2020-07-26,bbcnews
Tables turned as St Bernard needs mountain rescue,"The ""massive"" four-year-old dog was showing signs of pain in her legs and was refusing to move.",,2020-07-26,bbcnews
Transport secretary caught up in Spain rule change,Grant Shapps is on a family holiday in the country and will have to quarantine on his return.,,2020-07-26,bbcnews
Video 3 minutes 37 seconds,"Covid-19 is the latest enemy faced by families in Iraq, and it's overrunning its hospitals and cemeteries.",,2020-07-26,bbcnews
Coronavirus: 'I killed my mother with my own hands',,,2020-07-26,bbcnews
Surgeries will also provide access to bikes and ministers promise cycling infrastructure will improve.,,,2020-07-26,bbcnews
Ps to prescribe cycling in new obesity strategy,,,2020-07-26,bbcnews
Harry Dunn family drop legal action against police,Mr Dunn's family believe a suspect in the case was allowed to leave the UK unlawfully.,,2020-07-26,bbcnews
Motorway roadworks speed limit to be raised,"The increase from 50mph to 60mph in England is intended to ease driver ""frustrations"".",,2020-07-26,bbcnews
Police and protesters clash at Seattle march,"Marches in support of anti-racism protests in Portland, Oregon were held across the US on Saturday.",,2020-07-26,bbcnews
"Day three of the third Test between England and West Indies at Old Trafford - follow in-play clips, TMS commentary and text coverage.",,,2020-07-26,bbcnews
"Broad picks up 6-31 as England take 172-run lead - clips, radio & text",,,2020-07-26,bbcnews
Crash fears amid rising biker numbers in lockdown,"Almost 50,000 motorbikes were clocked on roads in one weekend after restrictions were eased, police say.",,2020-07-26,bbcnews
"Eyes can reveal if someone has PTSD, study shows","The eyes of people with PTSD behave differently when they see exciting images, researchers say.",,2020-07-26,bbcnews
What are the quarantine rules for Spain and its islands?,,,2020-07-26,bbcnews
Where can I still take a foreign holiday this summer?,,,2020-07-26,bbcnews
How many confirmed cases are there in your area?,,,2020-07-26,bbcnews
What are my holiday travel and insurance rights?,,,2020-07-26,bbcnews
False and misleading claims about the hunt for a vaccine,,,2020-07-26,bbcnews
The papers: 'Costa del Quarantine' and princes' 'bitter rift',,,2020-07-26,bbcnews
Dogs with backpacks regrowing forests,,,2020-07-26,bbcnews
The science behind why doughnuts are so hard to resist,,,2020-07-26,bbcnews
Saving India's traditional rice,,,2020-07-26,bbcnews
Paris takes on bikers' noise,,,2020-07-26,bbcnews
What would remote working in Barbados really be like?,,,2020-07-26,bbcnews
Trading: 'I didn't know I'd lose money so fast',,,2020-07-26,bbcnews
'America's the world leader in not getting it together',,,2020-07-26,bbcnews
The country where black people are called slaves,,,2020-07-26,bbcnews
No end to Covid-19 webcam shortage,,,2020-07-26,bbcnews
Cycling fan's Tour de My Back Garden,,,2020-07-26,bbcnews
'Heroic' sniffer dog given Speaker's chair,,,2020-07-26,bbcnews
The lockdown film shot in a downstairs dusty flat,,,2020-07-26,bbcnews
'We've lost 20k saved for dream wedding',,,2020-07-26,bbcnews
How Ennis-Hill won a nation's heart  the inside story,,,2020-07-26,bbcnews
'I can't wait to be back on the squat rack',,,2020-07-26,bbcnews
Rebekah Vardy 'suicidal' over Coleen Rooney claims,,,2020-07-26,bbcnews
Sharks 'extinct' in 20% of coral reefs,,,2020-07-26,bbcnews
Liam Payne listens to One Direction 'when drunk',,,2020-07-26,bbcnews
Viagogo denies withholding refunds,,,2020-07-26,bbcnews
"How to watch, listen to & follow Premier League final day",,,2020-07-26,bbcnews
Revealed: Your top Premier League moments of 2019-20,,,2020-07-26,bbcnews
Broad traps Windies captain Holder lbw,,,2020-07-26,bbcnews
Watch: British Tour - women's doubles quarter-finals,,,2020-07-26,bbcnews
The funniest moments from this season's Honesty Cards,,,2020-07-26,bbcnews
Fan Tales: Barmy Army support like a '12th man' for the England team,,,2020-07-26,bbcnews
"Coronavirus updates: Global cases tops 16 million, was 15 million only 4 days ago",,,2020-07-26,abcnews
"The total number of deaths globally now stands at 644,556.",,,2020-07-26,abcnews
Parents agonize over back-to-school decisions amid pandemic,,,2020-07-26,abcnews
"Mnuchin: Virus aid package soon, $1,200 checks by August",,,2020-07-26,abcnews
Americans near the end of $600 unemployment lifeline,,,2020-07-26,abcnews
Beachgoers in Spain practice social distancing,,,2020-07-26,abcnews
Portland protesters breach fence around federal courthouse,,,2020-07-26,abcnews
Portland struggles with liberal identity under nation's gaze,,,2020-07-26,abcnews
"For racial justice protests, US taps tactical border squads",,,2020-07-26,abcnews
Trump signs 4 executive orders on lowering drug prices,,,2020-07-26,abcnews
Trump awards Olympic runner with Presidential Medal of Freedom,,,2020-07-26,abcnews
Trump cancels Florida portion of GOP convention,,,2020-07-26,abcnews
100 days out: Biden faces crucial stretch of 2020 campaign,,,2020-07-26,abcnews
Trump campaign moving forward with opening centers for community of color coalitions,,,2020-07-26,abcnews
Democrats show signs of outpacing Republicans in mail voting,,,2020-07-26,abcnews
Vos downplay risks of reopening schools: FACT CHECK,,,2020-07-26,abcnews
"As VP search enters final stages, many look at Biden's relationship with Susan Rice",,,2020-07-26,abcnews
Sen. Tom Cotton bill would prohibit federal funding for teaching The 1619 Project,,,2020-07-26,abcnews
Democrats knock Republicans for 'disarray' over expiring unemployment benefits,,,2020-07-26,abcnews
Grath pitches 'public service' in bid to unseat Mitch Mc,,,2020-07-26,abcnews
Biden holds early edge in ABC News Electoral College race ratings: ANALYSIS,,,2020-07-26,abcnews
Trump keeps bragging about acing simple test used to detect mental impairment,,,2020-07-26,abcnews
Competing protesters converge on Breonna Taylor's hometown,,,2020-07-26,abcnews
3 members of armed militia shot at Breonna Taylor protest,,,2020-07-26,abcnews
The late Rep. John Lewis remembered in his hometown,,,2020-07-26,abcnews
Mass gatherings in June reshaped fight with coronavirus,,,2020-07-26,abcnews
Reopened for business: Here's how states responded to coronavirus in May,,,2020-07-26,abcnews
Economy vs. death: How April shaped Americas coronavirus response,,,2020-07-26,abcnews
How did we get here? Americans' response to coronavirus in March,,,2020-07-26,abcnews
Should you wear gloves while you grocery shop?,,,2020-07-26,abcnews
Coronavirus testing in the US,,,2020-07-26,abcnews
Timeline: Trumps response to the coronavirus pandemic,,,2020-07-26,abcnews
How can antibodies be used to treat COVID-19: Blood plasma explained,,,2020-07-26,abcnews
PPE shortage: How did it happen?,,,2020-07-26,abcnews
Church volunteer admits to arson attack on French cathedral,,,2020-07-26,abcnews
North Korea locks down border city over suspected virus case,,,2020-07-26,abcnews
"Humans may have arrived in Americas much earlier than thought, research shows",,,2020-07-26,abcnews
Black Lives Matter: A movement in photos,,,2020-07-26,abcnews
"PHOTOS: Death of George Floyd sparks widespread outcry, protests",,,2020-07-26,abcnews
Luck? Genetics? Italian island spared from COVID outbreak,,,2020-07-26,abcnews
A day fighting the coronavirus: US hospital staff share hardest moments on shift,,,2020-07-26,abcnews
Breaking down the COVID-19 death rate in the US,,,2020-07-26,abcnews
ER doctor who survived COVID-19 reunites with family after 3-month battle,,,2020-07-26,abcnews
Arrests and clashes follow anti-Netanyahu protests in Israel,,,2020-07-26,abcnews
"Portland protests, Russian wildfires, a royal knighthood: This Week In Pictures",,,2020-07-26,abcnews
Spain takes aim at nightclubs and beaches as virus rebounds,,,2020-07-26,abcnews
The return of baseball and potential for youth arm injuries,,,2020-07-26,abcnews
Stuck at home? Learn a new language with Rosetta Stone and get more cool apps on sale,,,2020-07-26,abcnews
Models accuse fashion industry of 'falsely portraying inclusivity' amid BLM,,,2020-07-26,abcnews
Prince Harry and Meghan sue over drone photos of son Archie,,,2020-07-26,abcnews
Dave Franco on 'The Rental': 'My paranoia has reached its peak since filming',,,2020-07-26,abcnews
"Virus-shadowed Emmy nods could bring surprises, diversity",,,2020-07-26,abcnews
Marlon Wayans mourns the loss of his family's matriarch in touching post,,,2020-07-26,abcnews
Bron James' charity to pay fines for former felons looking to vote,,,2020-07-26,abcnews
"Demi Lovato reflects on her 'miracle day,' when doctors saved her life",,,2020-07-26,abcnews
Depp's lawyers play video showing Heard 'attacked' sister,,,2020-07-26,abcnews
"Bron James demands justice for Breonna Taylor, calls Black Lives Matter 'lifestyle'",,,2020-07-26,abcnews
Britney Spears reveals her favorite Disney movie,,,2020-07-26,abcnews
Watch Bindi Irwin's video message about spreading love on her 22nd birthday,,,2020-07-26,abcnews
This mom's daily affirmations with her 3-year-old daughter will inspire you,,,2020-07-26,abcnews
Dave Franco to play young Vanilla Ice in new movie,,,2020-07-26,abcnews
Not's Mega Savings Event: How to get up to 20% cash back,,,2020-07-26,abcnews
These adorable twin boys bring joy online through their viral Instagram account,,,2020-07-26,abcnews
Will Halloween be canceled? What costumes will be appropriate amid racial reckoning,,,2020-07-26,abcnews
"Taylor Swift releases new album, 'Folklore,' and video for 'Cardigan'",,,2020-07-26,abcnews
'This Is Us' star Chrissy Metz solidifies her country career with Opry debut,,,2020-07-26,abcnews
"Meet Ciara and Russell Wilson's newborn son, Win",,,2020-07-26,abcnews
Christina Aguilera shares rare photos of 12-year-old son on vacation,,,2020-07-26,abcnews
'DWTS' pro announces she's pregnant with her 1st child,,,2020-07-26,abcnews
Blake Shelton and Gwen Stefani drop whimsical duet 'Happy Anywhere',,,2020-07-26,abcnews
Review: Another dull go-around with The Kissing Booth 2,,,2020-07-26,abcnews
'GMA' Deals and Steals to pamper yourself,,,2020-07-26,abcnews
"Regis Philbin, C.T. Vivian, John Lewis and other notable people who died in 2020",,,2020-07-26,abcnews
American civil rights leader and activist John Lewis,,,2020-07-26,abcnews
Photos: Comet NEOWISE lights up the night sky,,,2020-07-26,abcnews
Schools in the time of the coronavirus pandemic,,,2020-07-26,abcnews
PHOTOS: Coronavirus outbreak sparks global health emergency,,,2020-07-26,abcnews
Hanna weakens to Tropical Storm,,,2020-07-26,abcnews
Legendary television host Regis Philbin dead at 88,,,2020-07-26,abcnews
Man dies in police-involved shooting,,,2020-07-26,abcnews
Angry passengers fight at airport gate,,,2020-07-26,abcnews
Teen gets life in prison for 2019 school shooting,,,2020-07-26,abcnews
GOP gov goes against party on anti-LGBTQ policy,,,2020-07-26,abcnews
Courthouse set on fire during protest,,,2020-07-26,abcnews
"Bodies of mother, 2 infants found in car in pond",,,2020-07-26,abcnews
Man fatally shot at protest in Texas,,,2020-07-26,abcnews
Christian group pushes out Yoho after AOC incident,,,2020-07-26,abcnews
Multiple injuries in Utah plane crash,,,2020-07-26,abcnews
Sinclair pulls show over Fauci conspiracy theory,,,2020-07-26,abcnews
Man charged in students' death to stand trial,,,2020-07-26,abcnews
Visitors missing after attack in Puerto Vallarta,,,2020-07-26,abcnews
UN: Anti-Pakistan militants in Afghanistan,,,2020-07-26,abcnews
S. Korean baseball fans back in stands amid COVID,,,2020-07-26,abcnews
"Putin attends naval parade, promises new ships",,,2020-07-26,abcnews
Head of Italy region probed for COVID supplies,,,2020-07-26,abcnews
US Supreme Court denies Nevada church's appeal,,,2020-07-26,abcnews
Amazon indigenous leader Raoni recovering,,,2020-07-26,abcnews
Police probe minister after killing of journalist,,,2020-07-26,abcnews
Brazil president says he tested negative for virus,,,2020-07-26,abcnews
Court backs expulsion of far-right party member,,,2020-07-26,abcnews
UK puts Spain back on COVID-19 unsafe country list,,,2020-07-26,abcnews
Panel recommends Lee statue removal at US Capitol,,,2020-07-26,abcnews
"S. Korea reports case spike, US states tighten up",,,2020-07-26,abcnews
Judge blocks law banning police pepper spray use,,,2020-07-26,abcnews
Russia denies accusations of weapon test in space,,,2020-07-26,abcnews
Gazans defy taboos to rescue stray animals,,,2020-07-26,abcnews
Thousands in Puerto Rico still homeless from Maria,,,2020-07-26,abcnews
Abortion critics urge Dems to change platform,,,2020-07-26,abcnews
Barred presidential candidate flees Belarus,,,2020-07-26,abcnews
Timelapse footage captures ominous storm clouds,,,2020-07-26,abcnews
Vehicles carefully push through a flooded tunnel,,,2020-07-26,abcnews
Huge storm lights up Washington sky,,,2020-07-26,abcnews
White rhino welcomes baby at Monarto Safari Park,,,2020-07-26,abcnews
Fires and Pepper Spray in Seattle as Police Protests Widen Across U.S.,"From Los Angeles to New York, protesters marched in a show of solidarity with demonstrations in Portland, Ore. In Seattle, they smashed windows and set fires. A shooting at a protest in Austin, Texas, left one man dead.",,2020-07-26,nytimes
"You Do the Right Things, and Still You Get It","A Texas family tried to ward off the virus. But as cases in the state soared and debates about masks and distancing raged, there was only so much they could control.",,2020-07-26,nytimes
"Empty Towers, No Power Lunches: Ghostly Midtown Is Omen for N.Y.C.","7,500 workers are missing from a famous building. A food cart sells 10 hot dogs a day. The viruss effect on one block could be a vision of the citys future.",,2020-07-26,nytimes
Coronavirus Live Updates: Who Is Immune? Antibody Puzzle Complicates the Question,"Confusing test results in recovered patients fueled fears that repeat coronavirus infections were possible. Big nonprofits like the American Red Cross, lifelines in the pandemic, face drastic cuts.",,2020-07-26,nytimes
Disability Pride: The High Expectations of a New Generation,Millions of young people grew up knowing the landmark Americans With Disabilities Act as a birthright. They now demand its guarantees  and even more.,,2020-07-26,nytimes
"After #OscarsSoWhite, Disability Waits for Its Moment","Actors with disabilities are rarely tapped to play disabled characters. Ali Stroker, Marlee Matlin and others share their views on representation in the entertainment industry.",,2020-07-26,nytimes
Beyond the Laws Promise: 30 Years Since the Passage of the Americans With Disabilities Act,This series explores how the Americans With Disabilities Act has shaped modern life for people with disabilities in the 30 years since it was passed.,,2020-07-26,nytimes
"John Lewis, Son of Alabama, Makes His Last Journey Home","Days of memorials for the congressman and civil rights figure began in Troy, the small Alabama town where he was raised. Rest well, one of his sisters said.",,2020-07-26,nytimes
"From Alabama to the Capitol, the Journey to Honor John Lewis",Family and friends gathered to remember the civil rights figure.,,2020-07-26,nytimes
"Not long ago, Pavle Jovanovic was among the worlds top bobsledders. In retirement, he battled mental illness and substance abuse. Were brain injuries the cause of his demise and that of others in his sport?",,,2020-07-26,nytimes
11 of Our Best Weekend Reads,"Farewell, John Lewis. Bake sales with global reach. Panama hats. 30 years of the A.D.A. And more.",,2020-07-26,nytimes
"News Quiz: Federal Agents, John Lewis, Mars",Did you follow the headlines this week?,,2020-07-26,nytimes
"Coronavirus, Hurricane Hanna, Regis Philbin: Your Weekend Briefing",Heres what you need to know about the weeks top stories.,,2020-07-26,nytimes
The Battle for a Baseball Season,A conversation with the commissioner of Major League Baseball about the path to this seasons start.,,2020-07-26,nytimes
Introducing: Nice White Parents,"A new limited series about building a better school system, and what gets in the way. Nice White Parents  coming July 30 from Serial Productions, brought to you by The New York Times.",,2020-07-26,nytimes
Reopening Schools Is Way Harder Than It Should Be,So is leaving them closed. Now what do we do?,,2020-07-26,nytimes
The Pandemic Could Make Political Conventions Less Terrible,"The president did America a favor, in more ways than one, by canceling much of this years Republican National Convention.",,2020-07-26,nytimes
"In Portlands So-Called War Zone, Its the Troops Who Provide the Menace","If President Trump is actually trying to establish order, he is stunningly incompetent.",,2020-07-26,nytimes
The Ghost of Margaret Sanger,Planned Parenthood and the complexities of anti-racism.,,2020-07-26,nytimes
A Visit to the Classrooms the Kids Left Behind,School administrators confront what one called the greatest challenge of my career.,,2020-07-26,nytimes
A.O.C. and the Jurassic Jerks,"For the Cave Man President and his party, clubbing women is not a path to victory.",,2020-07-26,nytimes
Donald Trump Is the Best Ever President in the History of the Cosmos,Thats no more fantastical than the rest of his re-election campaign.,,2020-07-26,nytimes
"Rich New Yorkers, Hows That Census Coming?",Some neighborhoods where wealthy residents skipped town during the pandemic have among the lowest response rates in the city.,,2020-07-26,nytimes
A.O.C. and the Daughter Defense,"Sorry, Ted Yoho. Having daughters doesnt get you a sexism free pass.",,2020-07-26,nytimes
Who Gets to Be a Naked Athena?,"On weirdness, whiteness and federal agents in Portland.",,2020-07-26,nytimes
Online School Is Not the End of the World,Students tell us how they feel about the prospect of returning to the classroom.,,2020-07-26,nytimes
Whats Going on Inside the Fearsome Thunderstorms of Crdoba Province?,Scientists are studying the extreme weather in northern Argentina to see how it works  and what it can tell us about the monster storms in our future.,,2020-07-26,nytimes
Why the Big City President Made Cities the Enemy,Donald Trump  a lifelong New Yorker  declares war on urban America.,,2020-07-26,nytimes
"Yes, Fake News Is a Problem. But Theres a Real News Problem, Too.","In Ghosting the News, Margaret Sullivan writes about the consequences of local newspapers closing across the country.",,2020-07-26,nytimes
"Small Plane Crashes Into Backyard in Utah City, Killing 3","Three people died in the crash, an official said, and at least three others were injured, including one person who was inside a home.",,2020-07-26,nytimes
We Will Be a Voice for the Voiceless: The W.N.B.A. Season Is Dedicated to Breonna Taylor,"The Seattle Storm, with all-time assist leader Sue Bird and 2018 M.V.P. Breanna Stewart back in action, took the bubble tournaments first victory over the New York Libertys seven-rookie squad.",,2020-07-26,nytimes
Misogynistic Lawyer Who Killed Judges Son Had List of Possible Targets,"The list was found after the lawyer killed himself and had more than a dozen names, including three other judges and two doctors.",,2020-07-26,nytimes
Refugee and Author Long Detained by Australia Gets Asylum in New Zealand,"Behrouz Boochani, a Kurdish-Iranian exile, said the news showed the vast differences between the two neighboring countries on human rights.",,2020-07-26,nytimes
"A Viewer Spotted a Lump on Her Neck. Now, Shes Having a Tumor Removed.","Victoria Price, an investigative reporter in Tampa, Fla., said she was grateful that a viewer sent her a terse email suggesting that she get her thyroid checked out.",,2020-07-26,nytimes
Hurricane Hanna Hits Texas Region Struggling With Coronavirus,Some of the communities in the storms path have seen a sudden spike in Covid-19 cases and hospitalizations as Texas has become one of the largest hot spots in the country.,,2020-07-26,nytimes
"Regis Philbin, TVs Enduring Everyman, Dies at 88","With patience, determination and folksy, spontaneous wit, Mr. Philbin climbed to pre-eminence relatively late in life on talk and game shows.",,2020-07-26,nytimes
"As the World Gets Tougher on China, Japan Tries to Thread a Needle","Tokyo has not confronted Beijing as the United States and other allies have, mindful of its neighbors economic might and its own limited military options.",,2020-07-26,nytimes
Dont Ban TikTok. Make an Example of It.,There is plenty the U.S. government could do to ensure that TikTok acts responsibly without getting rid of it altogether.,,2020-07-26,nytimes
Where the Wild Things Play,"The animal world is full of games. And tucked in among wrestling monkeys, belligerent birds and wily coyotes are lessons for us all.",,2020-07-26,nytimes
Do We Need to Tell Our Son That His Dad Has Coronavirus?,He is 8 years old and very afraid of us getting sick.,,2020-07-26,nytimes
"Need Help With Your Estate Plan? Go With the Flow, Advisers Say","As older adults face mortality during the pandemic, lawyers and wealth advisers are using color-coded documents and flowcharts to help them understand estate planning.",,2020-07-26,nytimes
That Home Office of Yours? It Needs an Upgrade,You may be working from home for a while. Its time for something more professional than a corner of the dining table.,,2020-07-26,nytimes
"Suggestions, Distractions and Diaries. Our Staff Is an Open Book.","Worry is a drumbeat. Above it, though, theres a melody: a craving for distraction and joy, for intimacy, for serendipity.",,2020-07-26,nytimes
"Sara Ziff and Reed Young met on a train platform. They hit it off, but neither expected much from the encounter and said their goodbyes without an introduction. Four months later they matched on a dating app.",,,2020-07-26,nytimes
"How a Waiter, With Over 30 Years at the Same Restaurant, Spends His Sundays","John Roney has worked at J.G. Melon since the 1980s, but hes not averse to change: the outdoors suit him just fine.",,2020-07-26,nytimes
12 Artists On: The Financial Crisis,"As the pandemic continues to derail the global economy, artists share works that reflect on uncertainty, capitalism and racial injustice.",,2020-07-26,nytimes
Breanna Stewart Is Ready for Her Old Normal: Winning Championships,The Seattle Storm forward will play in her first W.N.B.A. game in almost two years since rupturing her Achilles tendon. She returns in a season like no other.,,2020-07-26,nytimes
Cherries Belong in More Than Pie,"Turn them into something savory, alongside charred scallions and creamy raw pistachios.",,2020-07-26,nytimes
Your Coronavirus Antibodies Are Disappearing. Should You Care?,"Declining antibody levels do not mean less immunity, experts say. Besides, two widely used tests may detect the wrong antibodies.",,2020-07-26,nytimes
The Doctor From Nazi Germany and the Search for Life on Mars,Astrobiologists have used Mars jars for decades. Many didnt know about the controversial Air Force scientist who started them.,,2020-07-26,nytimes
"Global Warming Is Driving Polar Bears Toward Extinction, Researchers Say","By centurys end, polar bears worldwide could become nearly extinct as a result of shrinking sea ice in the Arctic if climate change continues unabated, scientists said.",,2020-07-26,nytimes
"Covid-19 Risk Doesnt Depend (Much) on Blood Type, New Studies Find","New studies show that people with Type A blood are not at greater risk of getting sick, as previous studies had suggested.",,2020-07-26,nytimes
'No apologies' for Spain travel rule change,"The foreign secretary defends the government's ""swift decision"" but Labour calls it ""shambolic"".",,2020-07-26,bbcnews
Spain insists it is safe amid new virus outbreaks,"Spain says new coronavirus cases are isolated, as the UK tells arriving passengers to self-isolate.",,2020-07-26,bbcnews
Spain quarantine: 'We found out three minutes after landing',Holidaymakers arriving to the UK from Spain and its islands must now self-isolate for 14 days.,,2020-07-26,bbcnews
Hollywood star Olivia de Havilland dies at 104,Her career spanned more than 50 years and she was the last surviving star of Gone with the Wind.,,2020-07-26,bbcnews
Man Utd beat Leicester to reach Champions League,Manchester United's 2-0 win secures a top-four finish and a place in next season's Champions League.,,2020-07-26,bbcnews
Tables turned as St Bernard needs mountain rescue,"The ""massive"" four-year-old dog was showing signs of pain in her legs and was refusing to move.",,2020-07-26,bbcnews
Tui scraps holidays to mainland Spain over new rules,The travel industry reacts with dismay to the 14-day quarantine for travellers arriving from Spain.,,2020-07-26,bbcnews
Transport secretary caught up in Spain rule change,Grant Shapps is on a family holiday in the country and will have to quarantine on his return.,,2020-07-26,bbcnews
Patel challenges Twitter delay in tackling Wiley,The home secretary says anti-Semitic posts should be taken off Twitter and Instagram more quickly.,,2020-07-26,bbcnews
Video 3 minutes 37 seconds,"Covid-19 is the latest enemy faced by families in Iraq, and it's overrunning its hospitals and cemeteries.",,2020-07-26,bbcnews
Coronavirus: 'I killed my mother with my own hands',,,2020-07-26,bbcnews
Covid outbreak hits 21 at caravan park,"Three cases were confirmed last week, and health officials predict the number will rise.",,2020-07-26,bbcnews
Westminster Abbey 'dealt shattering blow by virus',The dean of Westminster Abbey says it is down 12m this year and is set to make staff redundant.,,2020-07-26,bbcnews
BAME people set to feature on British money,Black and ethnic minority figures have never been featured on British legal tender.,,2020-07-26,bbcnews
The late civil rights activist is taken over the Edmund Pettus Bridge for a final time.,,,2020-07-26,bbcnews
Body of US rights icon Lewis crosses Selma bridge,,,2020-07-26,bbcnews
Spain travel rules: Should I still go?,,,2020-07-26,bbcnews
What are the quarantine rules for Spain and its islands?,,,2020-07-26,bbcnews
Where can I still take a foreign holiday this summer?,,,2020-07-26,bbcnews
How many confirmed cases are there in your area?,,,2020-07-26,bbcnews
False and misleading claims about the hunt for a vaccine,,,2020-07-26,bbcnews
Your pictures on the theme of 'homegrown',,,2020-07-26,bbcnews
Dogs with backpacks regrowing forests,,,2020-07-26,bbcnews
The science behind why doughnuts are so hard to resist,,,2020-07-26,bbcnews
Saving India's traditional rice,,,2020-07-26,bbcnews
Paris takes on bikers' noise,,,2020-07-26,bbcnews
The dying teenager who wanted world peace (and love),,,2020-07-26,bbcnews
'Soft play is heading for a cliff edge',,,2020-07-26,bbcnews
What would remote working in Barbados really be like?,,,2020-07-26,bbcnews
