H0,H1,H2,uri,date
Hungry black hole may be cosmic 'missing link',Astronomers say they have found the best evidence yet for an elusive class of black hole.,,https://www.bbc.com/news,2020-04-01 15:01:22.123545
,Spain's deaths soar but infection rate slows,"With more than 9,000 deaths, Spain has the second-highest number of fatalities caused by coronavirus.",https://www.bbc.com/news,2020-04-01 15:01:22.294645
,Coronavirus outbreak 'greatest test since WW2',"UN boss AntÃ³nio Guterres calls for an ""immediate co-ordinated"" global response to tackle the crisis.",https://www.bbc.com/news,2020-04-01 15:01:22.294645
,Video 37 secondsTimelapse shows creation of London virus hospital,The ExCeL centre has become the Nightingale and is due to start taking coronavirus patients this week.,https://www.bbc.com/news,2020-04-01 15:01:22.294645
,Exclusive Hockney drawings offer 'respite from news',"The artist, who's in lockdown in Normandy, shares 10 soothing paintings of the springtime.",https://www.bbc.com/news,2020-04-01 15:01:22.294645
,Saudi Arabia asks Muslims to delay Hajj bookings,The kingdom says it is concerned about the safety of pilgrims amid the coronavirus pandemic.,https://www.bbc.com/news,2020-04-01 15:01:22.294645
,Zoom under increased scrutiny as popularity soars,The New York attorney general has written to the videoconferencing company about its security measures.,https://www.bbc.com/news,2020-04-01 15:01:22.294645
,Stock markets suffer worst quarter since 1987,The Dow Jones and FTSE 100 have fallen more than 20% since the start of the year.,https://www.bbc.com/news,2020-04-01 15:01:22.294645
,Climate change clips the nightingale's wings,Rising temperatures may be having a profound impact on one of the world's favourite songbirds.,https://www.bbc.com/news,2020-04-01 15:01:22.295648
,US Navy captain pleads for help over outbreak,"The captain warns of an ""accelerating"" coronavirus outbreak on his aircraft carrier docked in Guam.",https://www.bbc.com/news,2020-04-01 15:01:22.295648
,Video 1 minute 14 secondsThe hospital concert for coronavirus patients,Musicians in South Korea have played a classical music concert for coronavirus patients.,https://www.bbc.com/news,2020-04-01 15:01:22.295648
,US Navy captain pleads for help over outbreak,"The captain warns of an ""accelerating"" coronavirus outbreak on his aircraft carrier docked in Guam.",https://www.bbc.com/news,2020-04-01 15:01:22.295648
,Video 1 minute 14 secondsThe hospital concert for coronavirus patients,Musicians in South Korea have played a classical music concert for coronavirus patients.,https://www.bbc.com/news,2020-04-01 15:01:22.295648
,Virus 'threatens the most vulnerable' in Myanmar,"Around 350,000 people are sitting in the path of a ""public health catastrophe"", says Human Rights Watch.",https://www.bbc.com/news,2020-04-01 15:01:22.295648
,Amazon workers strike over virus protection,Some US workers at Amazon and Instacart claim they are not receiving adequate protection.,https://www.bbc.com/news,2020-04-01 15:01:22.295648
,Hungry black hole may be cosmic 'missing link',Astronomers say they have found the best evidence yet for an elusive class of black hole.,https://www.bbc.com/news,2020-04-01 15:01:22.295648
,The US governor who saw it coming early,,https://www.bbc.com/news,2020-04-01 15:01:22.295648
,A visual guide to the pandemic,,https://www.bbc.com/news,2020-04-01 15:01:22.295648
,Why some countries wear face masks and others don't,,https://www.bbc.com/news,2020-04-01 15:01:22.295648
,Loss of smell and taste 'may be coronavirus',,https://www.bbc.com/news,2020-04-01 15:01:22.295648
,Lack of testing becomes political problem in UK,,https://www.bbc.com/news,2020-04-01 15:01:22.295648
,Video'Not a holiday': Quarantine in a five-star hotel,,https://www.bbc.com/news,2020-04-01 15:01:22.295648
,"VideoUS death rates v China, Italy and South Korea",,https://www.bbc.com/news,2020-04-01 15:01:22.295648
,Video'We can't even wash our hands',,https://www.bbc.com/news,2020-04-01 15:01:22.295648
,In pictures: Field hospitals set up around world,,https://www.bbc.com/news,2020-04-01 15:01:22.295648
,VideoHow (not) to cut your hair at home,,https://www.bbc.com/news,2020-04-01 15:01:22.295648
,The unusual ways countries are managing lockdowns,,https://www.bbc.com/news,2020-04-01 15:01:22.295648
,Trump changes tack as reality hits,,https://www.bbc.com/news,2020-04-01 15:01:22.295648
,India's race to build a $650 ventilator,,https://www.bbc.com/news,2020-04-01 15:01:22.295648
,The man who designs the world's water parks,,https://www.bbc.com/news,2020-04-01 15:01:22.295648
,Coronavirus: A ticking time-bomb for the Middle East,,https://www.bbc.com/news,2020-04-01 15:01:22.295648
,Birth in a pandemic: 'You are stronger than you think',,https://www.bbc.com/news,2020-04-01 15:01:22.295648
,"My disabled son - â€˜the nobleman, the philanderer, the detectiveâ€™",,https://www.bbc.com/news,2020-04-01 15:01:22.295648
,Living on a rock in the North Atlantic,,https://www.bbc.com/news,2020-04-01 15:01:22.295648
,"1968, the year that haunts hundreds of women",,https://www.bbc.com/news,2020-04-01 15:01:22.295648
,The godfather of fake news,,https://www.bbc.com/news,2020-04-01 15:01:22.295648
,Detroit's abandoned jewel,,https://www.bbc.com/news,2020-04-01 15:01:22.295648
,What causes an unhealthy stress diet?,,https://www.bbc.com/news,2020-04-01 15:01:22.295648
,The law saving lives as Covid-19 surges,,https://www.bbc.com/news,2020-04-01 15:01:22.295648
,The most treasured TV show ever,,https://www.bbc.com/news,2020-04-01 15:01:22.295648
,How much of your body is actually you?,,https://www.bbc.com/news,2020-04-01 15:01:22.295648
,Why children are not immune to Covid-19,,https://www.bbc.com/news,2020-04-01 15:01:22.295648
,How to avoid burnout amid a pandemic,,https://www.bbc.com/news,2020-04-01 15:01:22.295648
Exclusive Clips,". Saint Patrick's Cathedral Mass: Wednesday, April 1Dr. Oz calls on NY Governor to lift ban on important COVID-19 medicationDr. Siegel's keys to 'flattening the curve'Doctor on the frontlines gives wish list for battling COVID-19FCC launches $200M COVID-19 telehealth programTucker: WHO chief praises and covers for China. Trump warns Americans to prepare for hard days aheadVin Scully's optimistic view despite coronavirus pandemic",Show More,https://www.foxnews.com/,2020-04-01 15:01:21.879971
,"DEADLIEST DAY YETExplosion of coronavirus deaths comes as White House issues grim forecast of up to 240K fatalities2:33Army Corps of Engineers mobilizes across America to combat COVID-19Long Island, NY doctor on front lines against coronavirus: We need personnel and ventilators. Nunes: US must focus more on employment numbers during coronavirus contagionTrump urges Florida governor to allow coronavirus-stricken ship to dock",,https://www.foxnews.com/,2020-04-01 15:01:21.879971
Explosion of coronavirus deaths comes as White House issues grim forecast of up to 240K fatalities,"2:33Army Corps of Engineers mobilizes across America to combat COVID-19Long Island, NY doctor on front lines against coronavirus: We need personnel and ventilators. Nunes: US must focus more on employment numbers during coronavirus contagionTrump urges Florida governor to allow coronavirus-stricken ship to dock",,https://www.foxnews.com/,2020-04-01 15:01:21.879971
,"MARKET DROPFutures point to another coronavirus-fueled selloff on Wall StreetStates most vulnerable to coronavirus-driven economic hitCoronavirus and the bills: How to stay afloat financiallyArizona border town feels strain of coronavirus closures: 'It has been really tough''LIFT THE BAN'Dr. Oz calls on NYâ€™s Cuomo to lift restrictions on potential virus treatment1:52Dr. Oz: Should you be wearing a mask to protect from COVID-19?. Cuomo: Don't expect coronavirus crisis to end soon or you will be 'disappointed every morning'AOC hits Cuomo on coronavirus response that gives 'preferential treatment' to wealthySTAYING ON TRACKDanica Patrick on keeping calm and finding your passion in stressful timesTrail Blazers' Damian Lillard aims to keep fans united amid coronavirus pandemic0:28Community comes together to celebrate WWII veteran's 100th birthday. NJ woman's Facebook post helps spark movement to feed health workers on coronavirus front linesSAFE TO RUN?Experts weigh in on whether it is safe to jog outdoors amid coronavirus crisisShould you wear a homemade face mask?. Coronavirus: Social distancing gap should be greatly increased, MIT researcher saysCoronavirus' frightening profile: Who is more likely to die from COVID-19?",,https://www.foxnews.com/,2020-04-01 15:01:21.880974
Futures point to another coronavirus-fueled selloff on Wall Street,States most vulnerable to coronavirus-driven economic hitCoronavirus and the bills: How to stay afloat financiallyArizona border town feels strain of coronavirus closures: 'It has been really tough',,https://www.foxnews.com/,2020-04-01 15:01:21.880974
Dr. Oz calls on NYâ€™s Cuomo to lift restrictions on potential virus treatment,1:52Dr. Oz: Should you be wearing a mask to protect from COVID-19?. Cuomo: Don't expect coronavirus crisis to end soon or you will be 'disappointed every morning'AOC hits Cuomo on coronavirus response that gives 'preferential treatment' to wealthy,,https://www.foxnews.com/,2020-04-01 15:01:21.880974
Danica Patrick on keeping calm and finding your passion in stressful times,Trail Blazers' Damian Lillard aims to keep fans united amid coronavirus pandemic0:28Community comes together to celebrate WWII veteran's 100th birthday. NJ woman's Facebook post helps spark movement to feed health workers on coronavirus front lines,,https://www.foxnews.com/,2020-04-01 15:01:21.880974
Experts weigh in on whether it is safe to jog outdoors amid coronavirus crisis,"Should you wear a homemade face mask?. Coronavirus: Social distancing gap should be greatly increased, MIT researcher saysCoronavirus' frightening profile: Who is more likely to die from COVID-19?",,https://www.foxnews.com/,2020-04-01 15:01:21.880974
Exclusive Clips,"Saint Patrick's Cathedral Mass: Wednesday, April 1. Dr. Oz calls on NY Governor to lift ban on important COVID-19 medicationDr. Siegel's keys to 'flattening the curve'Doctor on the frontlines gives wish list for battling COVID-19FCC launches $200M COVID-19 telehealth programTucker: WHO chief praises and covers for ChinaTrump warns Americans to prepare for hard days aheadVin Scully's optimistic view despite coronavirus pandemic",Show More,https://www.foxnews.com/,2020-04-01 15:01:21.880974
,"VideoDr. Siegel answers coronavirus food safety questionsHealthCoronavirus in the US: State-by-state breakdownHealthDJ with terminal cancer and coronavirus, told doctors to 'save someone else'. VideoChip Roy's plan to cut America's dependence on China drugsHealthPennsylvania pastor slams coronavirus precautions, plans 'Woodstock'-like Easter gatheringPoliticsRussia sending plane filled with medical equipment to USVideoDr. Nesheiwat warns of a new COVID-19 symptomPoliticsLawmakers demand airlines refund customers for coronavirus cancellationsMediaDoctor's Facebook post goes viral after officer gives her masks instead of speeding ticket: 'I burst into tears'CONVENTIONAL WISDOMPoliticsDemocrats may cancel partyâ€™s presidential gathering amid coronavirus crisis, leaders admitFood & DrinkBurger King gives instructions for making a Whopper using store-bought ingredientsLifestyle'Impossible' puzzle features 4 difficulty levelsCars + TrucksFox Sports adds Wednesday night iRacing. U.S.Coronavirus uniting people in way not seen since 9/11, first responder saysU.S.Calif. emergency manager caught sunbathing despite order, â€˜I own thisâ€™WorldItaly has lowest daily coronavirus infections in 2 weeks â€” but risks losing control in south with fear of riots, lootingU.S.Los Angeles supervisors remove sheriff as head of emergency operationsEntertainmentJohn Cusack calls for another Trump impeachment, worker strikes amid the coronavirus pandemicEntertainmentMeghan Markle, Prince Harry's $2.5M security costs to be paid by Prince Charles after Trump refuses: reportMediaCNN's Chris Cuomo addresses coronavirus diagnosisSportsEx-NBA star says he tipped off Adam Silver about coronavirusSportsOakland Athletics minor league manager on ventilatorTechWhat is 'zoom-bombing'? FBI warns of new trendScienceElephants in Thailand face starvationMediaDr. Oz: President Trump presented the country with a 'somber' truth about coronavirus deathsMediaRep. Chip Roy introduces Beat China Act, says prescription drug manufacturing must return to USMediaFox News Channel ratings for first quarter of 2020 are the highest in network history. MediaStorytime with Dana, featuring Dana's corny jokes",,https://www.foxnews.com/,2020-04-01 15:01:21.881975
,,,https://www.foxnews.com/,2020-04-01 15:01:21.881975
Fox NationJoin Now,Watch Now For FreeThe cross is often used as a sign of faith & a symbol of the resurrection of Jesus Christ. Join us on Day 34 of this daily trek of reflection.,. Show More,https://www.foxnews.com/,2020-04-01 15:01:21.881975
Coronavirus Latest,"FULL COVERAGE: CORONAVIRUSNOW.COMNYCâ€™s coronavirus death toll tops 1,000. Federal prisons ramp up coronavirus precautions, keep inmates in cells for 2 weeksSen. Rick Scott sounds alarm over WHO's coronavirus response, calls for inquiryDC residents could be jailed for leaving home during coronavirus lockdown",,https://www.foxnews.com/,2020-04-01 15:01:21.881975
Your Money,5 ways to pay off Parent PLUS Loans fast,Show More,https://www.foxnews.com/,2020-04-01 15:01:21.881975
Opinion,Will coronavirus change our lives permanently?ByÂ Leslie MarshallCoronavirus is a wake-up call for America's pharmaceutical independenceByÂ Earl 'Buddy' CarterCoronavirus introduces millions of families to homeschooling â€“ Here is how to make it workByÂ Heather Creekmore,Show More. ,https://www.foxnews.com/,2020-04-01 15:01:21.881975
,PodcastFox News RundownÂ Â ,Play / PauseÂ /Â Volume,https://www.foxnews.com/,2020-04-01 15:01:21.881975
Get the best of Fox News delivered to your inbox daily,Enter email address. We've added you to our mailing list.CloseYour email address was not valid.Close,,https://www.foxnews.com/,2020-04-01 15:01:21.881975
Features & Faces,". Danica doesn't MISS racingAre â€˜COCAINE HIPPOSâ€™ helping the ecosystem?â€˜Nightmareâ€™ star tells ALLModel bares ALLMeghan, Harry acting like 'DEFIANT teens'Star called these people 'IDIOTS'Burger King: Hereâ€™s how to make a Whopper at HOMEIs this puzzle IMPOSSIBLE?Country singer tests POSITIVEApril sky: What to expectActor: TRUMP is the virusAre Heidi's 'struggles' OVER?Moon-Walk car collection REVEALEDCoronavirus kills 'Star Wars' actor. Good deed goes VIRALStar moves fans to TEARSDNA identifies REAL Boston Strangler?PreviousNext",,https://www.foxnews.com/,2020-04-01 15:01:21.881975
CoronavirusView All,"MediaDoctor's Facebook post goes viral after officer gives her masks instead of speeding ticket: 'I burst into tears'U.S.Coronavirus uniting people in way not seen since 9/11, first responder saysPoliticsLawmakers demand airlines refund customers for coronavirus cancellationsEntertainmentJohn Cusack calls for another Trump impeachment, worker strikes amid the coronavirus pandemicCars + TrucksFox Sports adds Wednesday night iRacing while seasons are suspended for coronavirus. ",,https://www.foxnews.com/,2020-04-01 15:01:21.882978
Fox News FlashView All,"MediaRep. Chip Roy introduces Beat China Act, says prescription drug manufacturing must return to USMediaDoctor's Facebook post goes viral after officer gives her masks instead of speeding ticket: 'I burst into tears'MediaLong Island, NY doctor on front lines against coronavirus: We need personnel and ventilatorsMediaNunes: US must focus more on employment numbers during coronavirus contagionMediaDr. Jeff Colyer on coronavirus data: 'We are seeing science playing out before our eyes'",,https://www.foxnews.com/,2020-04-01 15:01:21.882978
PoliticsView All,"PoliticsLawmakers demand airlines refund customers for coronavirus cancellationsPoliticsTop Democrats say party's convention may be canceled over coronavirus threatPoliticsRussia sending plane filled with medical equipment to US amid coronavirus pandemicPoliticsTrump urges Florida governor to allow coronavirus-stricken ship to dockPoliticsTrump salutes staff at Queens, NY, hospital near where he grew up: â€˜You people are just incredibleâ€™",,https://www.foxnews.com/,2020-04-01 15:01:21.882978
U.S.View All,"U.S.Coronavirus uniting people in way not seen since 9/11, first responder saysU.S.. New Hampshire crash that killed 7 was fault of drunken biker, not truck driver, defense lawyer claimsU.S.Hawaii expands coronavirus self-quarantine rules to include inter-island travel, threatens $5,000 fines and jailU.S.US coronavirus deaths top 4,000, surpass China, as White House projects 100K to 240K virus-related deathsU.S.This Day in History: April 1",,https://www.foxnews.com/,2020-04-01 15:01:21.882978
OpinionView All,"OpinionPenny Nance: Coronavirus and the challenges of teaching kids at home -- Please, do thisOpinionLeslie Marshall: Will coronavirus change our lives permanently?OpinionRep. Earl 'Buddy' Carter: Coronavirus is a wake-up call for America's pharmaceutical independenceOpinionTucker Carlson: WHO is a lapdog to the powerful, sucks up to China during coronavirus crisisOpinionVon Spakovsky, Adams & Mitchell: Coronavirus and elections â€” changes increase risk of voter fraud",,https://www.foxnews.com/,2020-04-01 15:01:21.882978
FamilyView All,"OpinionPenny Nance: Coronavirus and the challenges of teaching kids at home -- Please, do thisEntertainmentPink belts out moving gospel song during son's bath time: 'Faith is always a comfort'OpinionPaul Batura: Children's coronavirus fears â€“ this is what I told my sons the times demandOpinionJeannie Cunnion: Coronavirus â€“ Lessons from a mom of 5 about parenting in a pandemicEntertainmentBilly and Christi Busch reveal how they're carrying on the family's beer brewing legacy",,https://www.foxnews.com/,2020-04-01 15:01:21.882978
EntertainmentView All,"Entertainment. Meghan Markle, Prince Harry's $2.5M security costs to be paid by Prince Charles after Trump refuses: reportEntertainmentJohn Cusack calls for another Trump impeachment, worker strikes amid the coronavirus pandemicEntertainment'Nightmare on Elm Street' star Robert Englund on why it's unlikely he'll play Freddy Krueger againEntertainment'Tiger King' stars: Where are they now?EntertainmentNaomi Campbell on self-isolation: 'We cannot come out of this the same'",,https://www.foxnews.com/,2020-04-01 15:01:21.882978
What to WatchView All,"08:00Fox & FriendsUS Army Corps of Engineers quickly building temporary hospitals across country04:20Danica Patrick talks coronavirus isolation, latest CBD venture. 05:20Fox & FriendsDoctor who got masks instead of a speeding ticket at a traffic stop speaks out02:11Fox Business Flash top headlines for March 3102:13This Day in History: April 1",,https://www.foxnews.com/,2020-04-01 15:01:21.882978
Personal FinanceView All. ,"Sponsored by Credible5 ways to pay off Parent PLUS Loans fastLifestyleHelp wanted amid coronavirus pandemic: These companies are hiringLifestyleCoronavirus forces JCPenney to extend closures, furlough workersSponsored by Credible10 affordable ways to upgrade your rental propertyLifestyleCanâ€™t pay rent amid coronavirus outbreak? Here's what you should do",,https://www.foxnews.com/,2020-04-01 15:01:21.883981
TechnologyView All,"HealthCoronavirus: Social distancing gap should be greatly increased, MIT researcher saysTechTech company keeps tabs on how people socially isolate across the countryEntertainment. Larry David urges 'idiots' still out socializing to 'watch TV' in funny coronavirus PSAPoliticsDOJ's FISA report contradicts claims by Dems, media figures that surveillance rules were strictly observedTechStratolaunch to launch hypersonic vehicles from world's biggest airplane",,https://www.foxnews.com/,2020-04-01 15:01:21.883981
AutosView All,"Cars + TrucksFox Sports adds Wednesday night iRacing while seasons are suspended for coronavirusLifestyleDanica Patrick on keeping calm and finding your passion in stressful timesCars + TrucksDanica Patrick says she doesn't miss racing, but only likes the real thingCars + TrucksFox's virtual Texas NASCAR race sets esports record with 1.3 million viewersPoliticsTrump administration eases Obama-era regs on vehicle fuel economy",,https://www.foxnews.com/,2020-04-01 15:01:21.883981
Travel + OutdoorsView All,". Great OutdoorsWashington bans recreational fishing, shellfishing to slow coronavirus spreadLifestyleMontana Fish, Wildlife agency converts social distancing into 'fishtancing'. Great OutdoorsNational Park Service asks people to practice social distance during coronavirus pandemicU.S.Missouri to waive fishing permit requirements during coronavirus outbreakU.S.New Hampshire hiker survives 200-foot fall while descending Mount Washington",,https://www.foxnews.com/,2020-04-01 15:01:21.883981
Food + DrinkView All,"Food & DrinkBurger King France gives instructions for making a Whopper using store-bought ingredientsFood & Drink. Indiana restaurant owner cuts hair like Joe Exotic to raise money for workers after coronavirus shutdownFood & DrinkBurger King, Popeyes to use thermometers on workers, pay bonus for April amid coronavirus outbreakMedia'Bar Rescue' host Jon Taffer: Restaurants will face new challenges no one is talking aboutFood & DrinkTaco Bell offering free tacos on Tuesday as a 'thank you' during coronavirus pandemic",,https://www.foxnews.com/,2020-04-01 15:01:21.883981
Fitness + Well-beingView All,"LifestyleDanica Patrick on keeping calm and finding your passion in stressful timesMediaAnna Kooiman shares at-home workouts for coronavirus lockdownReal EstateBored at home? Instagram-influencing 'Style Sisters' explain how to deep-clean your closetLifestyleTips for staying fit while stuck at home during the coronavirus pandemicLifestyle. Jo-Ann craft stores are giving away free kits to make face masks, gowns",,https://www.foxnews.com/,2020-04-01 15:01:21.883981
Style + BeautyView All,"LifestyleMan dresses as bush to sneak out during coronavirus lockdownLifestyleWalmart sees increased sales for tops, but not bottoms, amid coronavirus pandemicLifestyleH&M donating money, protective equipment to help those fighting coronavirus spreadLifestyleCrocs giving health care workers free shoes amid coronavirus outbreak with new campaignReal EstateBored at home? Instagram-influencing 'Style Sisters' explain how to deep-clean your closet",,https://www.foxnews.com/,2020-04-01 15:01:21.883981
HealthView All,"HealthDJ with terminal cancer and coronavirus told doctors to 'save someone else'HealthShould you wear a homemade face mask?HealthBirx praises California, Washington for coronavirus response, says NY, NJ laggedHealthCoronavirus deaths top 4,000 in US, surpass ChinaHealthCalifornia nursing home sees more than 50 coronavirus infections",,https://www.foxnews.com/,2020-04-01 15:01:21.883981
Good NewsView All,"WorldSouth Korean shoe cobbler called 'angel' for doing this for 'poor and needy' amid coronavirus despair. WorldCoronavirus doesnâ€™t stop octogenarian couple from meeting at Danish-German border amid lockdownU.S.. Coronavirus outbreak results in Massachusetts man, 70, getting 'a little different' birthday partyU.S.Texas priest who had coronavirus recovers, offers services online againU.S.. NYPD cops deliver baby in Bronx apartment amid coronavirus ambulance 'backlog'",,https://www.foxnews.com/,2020-04-01 15:01:21.884983
Full EpisodesView All,"40:00VideoFox News @ Night - Tuesday, March 3143:57The Ingraham Angle - Tuesday, March 3143:10Hannity - Tuesday, March 3142:32Tucker Carlson Tonight - Tuesday, March 3125:33The Five - Tuesday, March 31",,https://www.foxnews.com/,2020-04-01 15:01:21.884983
Fox News SalutesView All,"U.S.Oregon high school football coach who disarmed gunman awarded special honorU.S.Oregon veteran, 95, recovers from coronavirus, family says: 'Pretty hardcore'U.S.Georgia veterans get food to community amid coronavirus outbreakU.S.Tennessee vet giving back during coronavirus pandemic had to grow up quicklyU.S.VA hospitals assist New York City with coronavirus response by freeing up 50 beds",,https://www.foxnews.com/,2020-04-01 15:01:21.884983
CrimeView All,"MediaRep. Chip Roy introduces Beat China Act, says prescription drug manufacturing must return to USU.S.New Hampshire crash that killed 7 was fault of drunken biker, not truck driver, defense lawyer claimsU.S.Coronavirus forces over 16 percent of FDNY members to call out sick, official saysMediaVirginia shop owner calls arrest of employee who shot would-be robber 'very sad,' 'mind-boggling'U.S.Over 1,000 NYPD officers have tested positive for coronavirus, police say",,https://www.foxnews.com/,2020-04-01 15:01:21.884983
Odd NewsView All,"World. Coronavirus in Italy: Some of the most surprising excuses people have used to leave homeWorldAustralian astrophysicist sent to the hospital after coronavirus invention goes horribly wrongWorldCoronavirus lockdown spurs police in England to dye 'Blue Lagoon' black to deter InstagrammersU.S.Coronavirus fuels toilet paper buying spree, California officials implore people not to flush t-shirts, wipesHealthMissouri woman gives birth in Walmart toilet paper aisle, report says",,https://www.foxnews.com/,2020-04-01 15:01:21.884983
,States most vulnerable to coronavirus-driven economic hit,Coronavirus and the bills: How to stay afloat financially,https://www.foxnews.com/,2020-04-01 15:01:21.949160
States most vulnerable to coronavirus-driven economic hit,Coronavirus and the bills: How to stay afloat financially,Arizona border town feels strain of coronavirus closures: 'It has been really tough',https://www.foxnews.com/,2020-04-01 15:01:21.949160
Coronavirus and the bills: How to stay afloat financially,Arizona border town feels strain of coronavirus closures: 'It has been really tough',,https://www.foxnews.com/,2020-04-01 15:01:21.949160
,1:52Dr. Oz: Should you be wearing a mask to protect from COVID-19?,. Cuomo: Don't expect coronavirus crisis to end soon or you will be 'disappointed every morning',https://www.foxnews.com/,2020-04-01 15:01:21.949160
1:52Dr. Oz: Should you be wearing a mask to protect from COVID-19?,. Cuomo: Don't expect coronavirus crisis to end soon or you will be 'disappointed every morning',AOC hits Cuomo on coronavirus response that gives 'preferential treatment' to wealthy,https://www.foxnews.com/,2020-04-01 15:01:21.949160
. Cuomo: Don't expect coronavirus crisis to end soon or you will be 'disappointed every morning',AOC hits Cuomo on coronavirus response that gives 'preferential treatment' to wealthy,,https://www.foxnews.com/,2020-04-01 15:01:21.949160
,Trail Blazers' Damian Lillard aims to keep fans united amid coronavirus pandemic,0:28Community comes together to celebrate WWII veteran's 100th birthday,https://www.foxnews.com/,2020-04-01 15:01:21.949160
Trail Blazers' Damian Lillard aims to keep fans united amid coronavirus pandemic,0:28Community comes together to celebrate WWII veteran's 100th birthday,. NJ woman's Facebook post helps spark movement to feed health workers on coronavirus front lines,https://www.foxnews.com/,2020-04-01 15:01:21.949160
0:28Community comes together to celebrate WWII veteran's 100th birthday,. NJ woman's Facebook post helps spark movement to feed health workers on coronavirus front lines,,https://www.foxnews.com/,2020-04-01 15:01:21.949160
,Should you wear a homemade face mask?,". Coronavirus: Social distancing gap should be greatly increased, MIT researcher says",https://www.foxnews.com/,2020-04-01 15:01:21.949160
Should you wear a homemade face mask?,". Coronavirus: Social distancing gap should be greatly increased, MIT researcher says",Coronavirus' frightening profile: Who is more likely to die from COVID-19?,https://www.foxnews.com/,2020-04-01 15:01:21.949160
". Coronavirus: Social distancing gap should be greatly increased, MIT researcher says",Coronavirus' frightening profile: Who is more likely to die from COVID-19?,,https://www.foxnews.com/,2020-04-01 15:01:21.949160
,. Coronavirus live updates: A country has reportedly banned the word 'coronavirus'. 36m ago. ,,https://abcnews.go.com/,2020-04-01 15:01:23.027701
,". Doctors fear drug shortage that stops people from ripping out their ventilator tubes. With much-needed equipment comes demands to put it all to use.. 3h ago. Coronavirus live updates: A country has reportedly banned the word 'coronavirus'. The race for a COVID-19 vaccine: Fast, but fast enough?. ",,https://abcnews.go.com/,2020-04-01 15:01:23.027701
,. ABC News Live. ,,https://abcnews.go.com/,2020-04-01 15:01:23.027701
,". Dr. Fauci dishes on Trump, calls for much longer travel restrictions. ",,https://abcnews.go.com/,2020-04-01 15:01:23.027701
,. Residents in Italy hang baskets to help the poor during pandemic. ,,https://abcnews.go.com/,2020-04-01 15:01:23.027701
,". Why coronavirus grocery buying spree may leave farmers in the lurch. Apr 1. As coronavirus patients surge, medical students rushed into practice. ",,https://abcnews.go.com/,2020-04-01 15:01:23.027701
,". Medicare and Medicaid patients get access to telemedicine, but challenges remain. Apr 1. What we know and don't about asymptomatic transmission and coronavirus. Coronavirus government response updates: Grim Trump, experts project 100-240K deaths. ",,https://abcnews.go.com/,2020-04-01 15:01:23.027701
